Survived,Pclass,Name,Sex,SibSp,Parch,Ticket,Embarked,Fare,Age
0,2,"Braund, Mr. Owen Harris",1,1,0,512,3,7.25,22.0
1,0,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",0,1,0,584,1,71.2833,38.0
1,2,"Heikkinen, Miss. Laina",0,0,0,656,3,7.925,26.0
1,0,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",0,1,0,47,3,53.1,35.0
0,2,"Allen, Mr. William Henry",1,0,0,463,3,8.05,35.0
0,2,"Moran, Mr. James",1,0,0,271,2,8.4583,0.0
0,0,"McCarthy, Mr. Timothy J",1,0,0,83,3,51.8625,54.0
0,2,"Palsson, Master. Gosta Leonard",1,3,1,387,3,21.075,2.0
1,2,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",0,0,2,339,3,11.1333,27.0
1,1,"Nasser, Mrs. Nicholas (Adele Achem)",0,1,0,129,1,30.0708,14.0
1,2,"Sandstrom, Miss. Marguerite Rut",0,1,1,604,3,16.7,4.0
1,0,"Bonnell, Miss. Elizabeth",0,0,0,36,3,26.55,58.0
0,2,"Saundercock, Mr. William Henry",1,0,0,524,3,8.05,20.0
0,2,"Andersson, Mr. Anders Johan",1,1,5,328,3,31.275,39.0
0,2,"Vestrom, Miss. Hulda Amanda Adolfina",0,0,0,405,3,7.8542,14.0
1,1,"Hewlett, Mrs. (Mary D Kingcome) ",0,0,0,150,3,16.0,55.0
0,2,"Rice, Master. Eugene",1,4,1,471,2,29.125,2.0
1,1,"Williams, Mr. Charles Eugene",1,0,0,148,3,13.0,0.0
0,2,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",0,1,0,297,3,18.0,31.0
1,2,"Masselmani, Mrs. Fatima",0,0,0,181,1,7.225,0.0
0,1,"Fynney, Mr. Joseph J",1,0,0,136,3,26.0,35.0
1,1,"Beesley, Mr. Lawrence",1,0,0,149,3,13.0,34.0
1,2,"McGowan, Miss. Anna ""Annie""",0,0,0,274,2,8.0292,15.0
1,0,"Sloper, Mr. William Thompson",1,0,0,40,3,35.5,28.0
0,2,"Palsson, Miss. Torborg Danira",0,3,1,387,3,21.075,8.0
1,2,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",0,1,5,324,3,31.3875,38.0
0,2,"Emir, Mr. Farred Chehab",1,0,0,176,1,7.225,0.0
0,0,"Fortune, Mr. Charles Alexander",1,3,2,93,3,7.8792,19.0
1,2,"O'Dwyer, Miss. Ellen ""Nellie""",0,0,0,279,2,7.8958,0.0
0,2,"Todoroff, Mr. Lalio",1,0,0,356,3,27.7208,0.0
0,0,"Uruchurtu, Don. Manuel E",1,0,0,586,1,146.5208,40.0
1,0,"Spencer, Mrs. William Augustus (Marie Eugenie)",0,1,0,574,1,7.75,0.0
1,2,"Glynn, Miss. Mary Agatha",0,0,0,284,2,10.5,0.0
0,1,"Wheadon, Mr. Edward H",1,0,0,538,3,82.1708,66.0
0,0,"Meyer, Mr. Edgar Joseph",1,1,0,588,1,52.0,28.0
0,0,"Holverson, Mr. Alexander Oskar",1,1,0,41,3,7.2292,42.0
1,2,"Mamee, Mr. Hanna",1,0,0,198,1,8.05,0.0
0,2,"Cann, Mr. Ernest Charles",1,0,0,503,3,18.0,21.0
